Name, Latitude, Longitude
Ben Nevis,56.796891,-5.003675
Ben Macdui,57.070368,-3.669099
Braeriach,57.078307,-3.72839
Ben Macdui North Top,57.076003,-3.665623
Cairn Toul,57.054406,-3.710757
Carn na Criche,57.063181,-3.75066
Sgor an Lochain Uaine,57.058376,-3.725897
Stob Coire Sputan Dearg,57.066291,-3.654071
Cairn Gorm,57.116714,-3.644477
Stob Coire an Lochain,57.076303,-3.749728
Aonach Beag,56.799998,-4.954138
Carn Dearg (NW),56.802239,-5.015965
Aonach Mor,56.812941,-4.961712
Carn Mor Dearg,56.805246,-4.986616
Ben Lawers,56.544921,-4.220876
Carn Dearg (NW) (old GR),56.804146,-5.017003
Cairn Lochan,57.102743,-3.676976
Stob Coire an t-Saighdeir,57.0466,-3.711289
Beinn a' Bhuird,57.08759,-3.499383
Sron na Lairige,57.084922,-3.710545
Beinn Mheadhoin,57.095849,-3.611464
Carn Eighe,57.287701,-5.115159
Mam Sodhail,57.279801,-5.120267
Carn Dearg Meadhonach,56.809798,-4.989485
Beinn a' Bhuird South Top,57.069523,-3.499347
Stob Choire Claurigh,56.823786,-4.849624
Beinn a' Bhuird South Top (old GR),57.063366,-3.501754
Stob Coire an t-Sneachda,57.106822,-3.65875
Ben More,56.385952,-4.540087
Cnap a' Chleirich,57.09141,-3.474269
Ben Avon - Leabaidh an Daimh Bhuidhe,57.099347,-3.434438
Stob Binnein,56.370717,-4.535753
Beinn Mheadhoin SW Top,57.090951,-3.621319
Beinn Bhrotain,57.009868,-3.723797
Lochnagar - Cac Carn Beag,56.960272,-3.245261
Derry Cairngorm,57.062801,-3.622004
A' Chioch,57.070313,-3.489597
Sgurr na Lapaich,57.369311,-5.059726
Cnap Coire na Spreidhe,57.124463,-3.631043
Cac Carn Mor,56.956227,-3.242742
Sgurr nan Ceathramhnan,57.254911,-5.222732
Bidean nam Bian,56.642759,-5.029335
Ben Alder,56.813804,-4.46509
Stob a' Choire Dhomhain,57.289921,-5.102448
Sgurr nan Ceathreamhnan West Top,57.25445,-5.229458
Bidean nam Bian West Top,56.643123,-5.032839
