hours,precipitation_probability,weather_code,visibility,wind_speed_180m,wind_direction_180m,temperature_180m
1715814000,5.0,3.0,24140.0,6.87779,96.00892,7.081
1715817600,0.0,3.0,24140.0,7.208994,92.86235,7.181
1715821200,0.0,2.0,24140.0,6.87779,96.00892,6.9809995
1715824800,0.0,3.0,24140.0,6.12,90.0,6.881
1715828400,0.0,45.0,24140.0,6.9899354,101.88863,6.381
1715832000,0.0,45.0,24140.0,6.519877,96.340096,6.2809997
1715835600,0.0,3.0,24140.0,6.830519,71.564964,6.081
1715839200,0.0,3.0,24140.0,7.342588,78.6901,6.081
1715842800,0.0,3.0,24140.0,6.638072,77.4712,6.081
1715846400,0.0,3.0,24140.0,6.725354,74.47583,6.381
1715850000,0.0,3.0,24140.0,6.379216,73.61038,6.881
1715853600,19.0,3.0,24140.0,6.28713,66.37061,7.4809995
1715857200,39.0,2.0,24140.0,7.289444,69.775055,8.281
1715860800,58.0,3.0,11980.0,6.924738,81.02746,8.580999
1715864400,69.0,2.0,13840.0,11.183201,86.308685,9.480999
1715868000,79.0,2.0,24140.0,17.373497,95.94677,10.181
1715871600,90.0,1.0,24140.0,22.007162,93.751656,11.080999
1715875200,66.0,1.0,24140.0,19.803272,88.9584,10.781
1715878800,43.0,1.0,24140.0,13.684735,88.4926,10.480999
1715882400,19.0,1.0,24140.0,10.1376915,96.11541,10.3810005
1715886000,13.0,1.0,24140.0,9.007196,87.70944,9.580999
1715889600,6.0,1.0,24140.0,10.739833,76.42955,8.781
1715893200,0.0,1.0,24140.0,12.413476,73.14152,8.281
1715896800,0.0,1.0,24140.0,15.596767,71.14675,8.281
1715900400,0.0,0.0,24140.0,16.595179,65.65892,8.480999
1715904000,0.0,0.0,24140.0,16.78156,67.28555,9.080999
1715907600,0.0,0.0,24140.0,18.11841,69.04415,8.8810005
1715911200,0.0,0.0,24140.0,18.25026,67.98867,8.781
1715914800,0.0,2.0,24140.0,17.709658,63.435013,8.3810005
1715918400,0.0,1.0,24140.0,16.981165,57.99466,8.580999
1715922000,0.0,1.0,24140.0,15.484185,54.46224,8.781
1715925600,0.0,1.0,24140.0,13.53236,61.389645,8.480999
1715929200,0.0,2.0,24140.0,15.137133,64.65388,8.3810005
1715932800,0.0,2.0,24140.0,15.0038395,59.743652,8.3810005
1715936400,0.0,2.0,24140.0,17.174677,56.976128,9.080999
1715940000,22.0,2.0,24140.0,23.03156,65.03724,9.3810005
1715943600,43.0,2.0,23720.0,24.535526,67.5741,9.781
1715947200,65.0,3.0,24140.0,21.129885,81.1797,9.980999
1715950800,63.0,2.0,24140.0,17.313717,93.57626,9.681
1715954400,60.0,2.0,13080.0,17.581125,100.619606,10.080999
1715958000,58.0,2.0,10040.0,14.759999,102.680374,10.480999
1715961600,68.0,2.0,12320.0,13.910169,100.43742,10.781
1715965200,77.0,2.0,24140.0,11.659777,98.88058,10.681
1715968800,87.0,3.0,23720.0,11.542478,93.57626,10.681
1715972400,90.0,3.0,23280.0,9.885262,79.50858,9.980999
1715976000,94.0,3.0,24140.0,6.9899354,78.11137,9.580999
1715979600,97.0,2.0,24140.0,5.8048253,82.875084,9.3810005
1715983200,65.0,0.0,24140.0,5.4477882,97.59455,9.181
1715986800,32.0,0.0,24140.0,5.00128,120.256355,9.181
1715990400,0.0,0.0,24140.0,3.8939953,123.6901,9.281
1715994000,0.0,0.0,24140.0,2.9024127,119.74479,9.281
1715997600,0.0,0.0,24140.0,1.835647,101.3099,9.3810005
1716001200,0.0,0.0,24140.0,1.9386592,68.19853,9.580999
1716004800,0.0,0.0,24140.0,2.16,90.0,9.681
1716008400,0.0,0.0,24140.0,1.9386592,68.19853,9.681
1716012000,0.0,1.0,24140.0,2.9024127,352.87506,9.781
1716015600,0.0,0.0,24140.0,2.4149535,26.564985,9.781
1716019200,0.0,0.0,24140.0,2.0364676,44.999897,9.580999
1716022800,0.0,0.0,24140.0,1.1384199,108.43504,10.281
1716026400,5.0,1.0,24140.0,1.8,143.13002,10.781
1716030000,11.0,1.0,24140.0,4.072935,135.0001,11.480999
1716033600,16.0,2.0,24140.0,2.2768397,161.56496,12.281
1716037200,42.0,2.0,24140.0,4.379589,189.46225,12.781
1716040800,68.0,2.0,24140.0,6.792466,212.00534,13.181
1716044400,94.0,3.0,9280.0,7.6367526,261.87,13.380999
1716048000,96.0,80.0,8060.0,14.689588,306.02747,11.781
1716051600,98.0,61.0,8320.0,3.7585104,16.699326,9.980999
1716055200,100.0,95.0,7360.0,3.319036,167.4712,9.8810005
1716058800,100.0,80.0,23500.0,3.6179552,174.2895,9.181
1716062400,100.0,3.0,24140.0,3.4152596,161.56496,9.080999
1716066000,100.0,45.0,24140.0,1.484318,194.03627,8.8810005
1716069600,70.0,45.0,24140.0,2.8116899,230.19447,8.580999
1716073200,40.0,45.0,23540.0,4.6102495,231.34016,8.281
1716076800,10.0,3.0,24140.0,5.8048253,240.2552,7.7809997
1716080400,7.0,45.0,24140.0,5.634891,243.43501,7.4809995
1716084000,3.0,45.0,24140.0,5.4833565,246.80138,7.181
1716087600,0.0,45.0,24140.0,3.9763298,264.80566,6.681
1716091200,0.0,45.0,24140.0,3.4152596,288.43503,6.381
1716094800,0.0,45.0,24140.0,3.7064266,299.0545,6.181
1716098400,0.0,45.0,24140.0,4.6938257,302.47116,6.081
1716102000,0.0,3.0,24140.0,4.3349743,318.36655,6.081
1716105600,0.0,3.0,24140.0,3.8939953,303.6901,6.2809997
1716109200,0.0,3.0,24140.0,3.319036,282.5288,7.681
1716112800,0.0,3.0,24140.0,4.1046314,285.25516,8.080999
1716116400,0.0,3.0,24140.0,3.6179552,275.7105,8.681
1716120000,0.0,3.0,24140.0,3.0547013,224.9999,8.8810005
1716123600,8.0,3.0,24140.0,4.198285,210.96368,9.281
