hours,precipitation_probability,weather_code,visibility,wind_speed_180m,wind_direction_180m,temperature_180m
1715814000,2.0,1.0,24140.0,12.7279215,135.0001,8.419499
1715817600,0.0,1.0,24140.0,9.726664,128.991,8.3195
1715821200,0.0,0.0,24140.0,10.009036,127.694305,8.5195
1715824800,0.0,0.0,24140.0,11.808878,127.568665,8.7195
1715828400,0.0,0.0,24140.0,9.504272,127.30403,8.8195
1715832000,0.0,0.0,24140.0,10.587918,125.311295,8.8195
1715835600,0.0,1.0,24140.0,12.096214,126.528946,8.7195
1715839200,0.0,2.0,24140.0,8.534353,117.64589,8.5195
1715842800,0.0,2.0,24140.0,10.464797,116.56499,8.919499
1715846400,0.0,3.0,24140.0,15.277749,124.43905,9.119499
1715850000,0.0,2.0,24140.0,10.464797,116.56499,8.8195
1715853600,3.0,2.0,24140.0,13.202726,115.8663,9.419499
1715857200,7.0,2.0,24140.0,17.727943,113.962494,10.119499
1715860800,10.0,1.0,24140.0,21.30093,120.46546,10.419499
1715864400,7.0,2.0,24140.0,26.795223,120.699646,10.619499
1715868000,3.0,1.0,24140.0,29.88217,121.200455,10.7195
1715871600,0.0,1.0,24140.0,26.576681,114.82932,10.8195
1715875200,0.0,1.0,24140.0,25.44566,115.11481,10.619499
1715878800,0.0,1.0,24140.0,24.696104,120.67721,10.3195
1715882400,0.0,0.0,24140.0,17.388409,117.095474,10.3195
1715886000,0.0,0.0,24140.0,15.315873,113.55228,10.0195
1715889600,0.0,0.0,24140.0,17.114204,112.24908,9.5195
1715893200,0.0,0.0,24140.0,13.708391,113.198616,9.119499
1715896800,0.0,1.0,24140.0,14.24163,110.72565,8.919499
1715900400,0.0,1.0,24140.0,16.73516,108.8248,8.8195
1715904000,0.0,0.0,24140.0,15.158522,94.08554,8.8195
1715907600,0.0,0.0,24140.0,16.215992,92.544754,8.5195
1715911200,0.0,0.0,24140.0,18.057508,94.57384,8.119499
1715914800,0.0,1.0,24140.0,16.23596,86.186005,8.5195
1715918400,0.0,1.0,24140.0,15.683776,80.75397,8.419499
1715922000,0.0,0.0,24140.0,15.745627,79.46087,8.2195
1715925600,0.0,0.0,24140.0,13.905509,68.74943,7.9195
1715929200,0.0,1.0,24140.0,14.494192,75.61857,7.8195004
1715932800,0.0,2.0,24140.0,14.689589,72.89719,7.9195
1715936400,0.0,2.0,24140.0,16.267857,65.13633,8.119499
1715940000,17.0,1.0,24140.0,18.214718,71.564964,8.3195
1715943600,35.0,2.0,24140.0,21.322214,78.31066,8.8195
1715947200,52.0,2.0,24140.0,21.542923,80.38034,9.2195
1715950800,43.0,2.0,24140.0,17.698677,94.66678,9.619499
1715954400,35.0,2.0,18960.0,14.84318,112.833694,9.8195
1715958000,26.0,2.0,24140.0,10.00256,120.256355,10.3195
1715961600,29.0,2.0,24140.0,7.42159,129.09386,10.2195
1715965200,32.0,3.0,24140.0,2.2768397,161.56496,9.919499
1715968800,35.0,3.0,24140.0,1.2979984,33.6901,8.919499
1715972400,48.0,3.0,23560.0,3.319036,77.4712,9.0195
1715976000,61.0,2.0,24140.0,3.7585104,106.699326,9.119499
1715979600,74.0,1.0,24140.0,1.8,143.13002,9.119499
1715983200,49.0,1.0,24140.0,4.3498964,155.55606,9.119499
1715986800,25.0,0.0,24140.0,7.0911775,156.0375,8.919499
1715990400,0.0,0.0,24140.0,3.671294,191.30989,9.0195
1715994000,0.0,0.0,24140.0,2.968636,194.03627,8.919499
1715997600,0.0,0.0,24140.0,1.609969,206.56499,8.8195
1716001200,0.0,0.0,24140.0,1.0182338,44.999897,8.8195
1716004800,0.0,0.0,24140.0,1.835647,78.6901,8.8195
1716008400,0.0,1.0,24140.0,1.835647,78.6901,8.3195
1716012000,0.0,2.0,24140.0,1.609969,63.435013,8.5195
1716015600,0.0,0.0,24140.0,2.8116899,129.80553,8.7195
1716019200,0.0,1.0,24140.0,5.1919937,146.3099,9.3195
1716022800,0.0,1.0,24140.0,2.2768397,161.56496,9.8195
1716026400,3.0,2.0,24140.0,1.835647,191.30989,9.7195
1716030000,7.0,3.0,24140.0,1.8,216.86998,10.419499
1716033600,10.0,3.0,24140.0,4.3349743,355.23645,10.3195
1716037200,38.0,2.0,24140.0,7.5685663,25.346138,9.419499
1716040800,66.0,3.0,23680.0,4.6938252,85.60138,9.419499
1716044400,94.0,80.0,19120.0,4.198285,59.03632,9.7195
1716048000,96.0,3.0,23500.0,2.1897945,350.53775,9.3195
1716051600,98.0,3.0,7380.0,3.319036,310.60123,9.2195
1716055200,100.0,3.0,8420.0,3.4152596,288.43503,8.919499
1716058800,100.0,3.0,7740.0,3.671294,281.3099,8.619499
1716062400,100.0,45.0,7420.0,4.8433046,311.98712,8.3195
1716066000,100.0,45.0,1640.0,4.2136917,289.9832,8.119499
1716069600,71.0,45.0,1500.0,2.9024127,262.8751,8.119499
1716073200,42.0,45.0,20280.0,3.0758414,249.44386,8.0195
1716076800,13.0,45.0,24140.0,3.2599385,263.6599,7.7195
1716080400,9.0,45.0,24140.0,4.452954,255.96373,7.7195
1716084000,4.0,45.0,24140.0,5.0911684,261.87,7.7195
1716087600,0.0,45.0,24140.0,5.771239,266.42374,7.4195
1716091200,0.0,45.0,9120.0,5.8048253,277.1249,7.2195
1716094800,0.0,45.0,7520.0,6.9527545,291.25058,7.1194997
1716098400,0.0,3.0,24140.0,5.3517847,312.27362,6.9195
1716102000,0.0,3.0,24140.0,5.0911684,315.0001,7.0195003
1716105600,0.0,45.0,24140.0,4.3349743,311.63345,6.8195004
1716109200,0.0,45.0,24140.0,5.1165614,309.28937,6.7195
1716112800,23.0,45.0,24140.0,6.193674,324.46225,6.4195
1716116400,45.0,45.0,24140.0,6.9527545,338.74942,6.4195
1716120000,68.0,45.0,24140.0,3.8773184,21.801476,7.4195
1716123600,54.0,3.0,23900.0,5.00128,30.256361,7.5195003
1716127200,40.0,3.0,23780.0,5.6920996,18.435053,7.7195
1716130800,26.0,3.0,23660.0,5.771239,3.5762644,7.4195
1716134400,40.0,3.0,19880.0,6.5693827,9.462261,7.5195003
1716138000,54.0,2.0,21760.0,7.9526596,5.19435,7.8195004
1716141600,68.0,2.0,16180.0,8.311245,17.650223,7.3195004
1716145200,47.0,2.0,16900.0,6.9527545,21.25058,7.0195003
1716148800,27.0,2.0,3600.0,5.00128,30.256361,6.9195
1716152400,6.0,2.0,2540.0,3.319036,49.398785,6.6195
1716156000,4.0,45.0,1900.0,2.5455842,44.999897,6.3195
1716159600,2.0,45.0,940.0,1.9386592,68.19853,6.0195003
1716163200,0.0,45.0,300.0,1.484318,75.96373,6.1195
1716166800,0.0,45.0,1380.0,1.484318,104.03627,5.8195
1716170400,0.0,45.0,1420.0,2.6208394,105.945465,5.7195
1716174000,0.0,45.0,120.0,1.08,90.0,5.8195
1716177600,0.0,45.0,100.0,2.0991426,120.96369,5.5195003
1716181200,0.0,45.0,320.0,4.3349743,131.63345,5.2195
1716184800,0.0,45.0,2440.0,2.5959969,146.3099,5.5195003
1716188400,0.0,2.0,1760.0,2.7416782,156.80138,5.3195
1716192000,0.0,2.0,24140.0,4.0249224,153.43501,5.9195
1716195600,0.0,1.0,24140.0,2.0991426,120.96369,7.5195003
1716199200,0.0,2.0,24140.0,2.968636,104.03627,7.5195003
1716202800,0.0,2.0,24140.0,4.198285,120.96369,8.0195
1716206400,0.0,2.0,24140.0,3.096837,125.537766,8.619499
1716210000,0.0,2.0,24140.0,3.6,126.86999,9.0195
1716213600,0.0,2.0,24140.0,5.3517847,137.72638,9.119499
1716217200,0.0,2.0,24140.0,4.8433046,138.01286,9.5195
1716220800,0.0,2.0,24140.0,6.792466,147.99466,9.419499
1716224400,0.0,2.0,24140.0,11.165805,159.22766,8.619499
1716228000,0.0,1.0,24140.0,9.227524,159.44388,8.0195
1716231600,0.0,1.0,24140.0,9.220499,141.34016,7.9195
1716235200,0.0,1.0,24140.0,6.638072,130.60121,7.4195
1716238800,0.0,0.0,24140.0,4.5820518,135.0001,6.7195
1716242400,0.0,1.0,24140.0,4.3349743,138.36655,6.6195
1716246000,0.0,45.0,24140.0,3.6,143.13002,6.5195003
1716249600,0.0,0.0,24140.0,4.0249224,153.43501,6.7195
1716253200,0.0,45.0,24140.0,5.95906,154.98314,6.7195
1716256800,0.0,0.0,24140.0,8.707237,150.2552,6.7195
1716260400,0.0,0.0,24140.0,9.360001,157.3801,6.8195004
1716264000,0.0,0.0,24140.0,10.30883,155.22488,6.9195
1716267600,0.0,0.0,24140.0,12.7279215,151.2603,6.8195004
1716271200,0.0,0.0,24140.0,10.787993,154.2901,6.7195
1716274800,0.0,0.0,24140.0,11.183201,146.82147,6.7195
1716278400,0.0,0.0,24140.0,12.387348,144.46223,7.0195003
1716282000,0.0,0.0,24140.0,11.681987,146.3099,7.4195
1716285600,0.0,0.0,24140.0,15.277749,145.56096,7.9195
1716289200,0.0,1.0,24140.0,22.473343,144.78232,8.5195
