hours,precipitation_probability,weather_code,visibility,wind_speed_180m,wind_direction_180m,temperature_180m
1715727600.0,43.0,3.0,24140.0,15.856354,140.52757,6.7840004
1715731200.0,29.0,3.0,13600.0,13.584932,147.99466,7.0839996
1715734800.0,24.0,3.0,13260.0,11.019764,141.63248,6.7840004
1715738400.0,18.0,3.0,13180.0,10.44,136.39711,6.684
1715742000.0,13.0,3.0,13180.0,10.44,136.39711,6.484
1715745600.0,11.0,3.0,14380.0,9.931042,133.53127,6.384
1715749200.0,8.0,3.0,24140.0,9.726664,128.991,6.384
1715752800.0,6.0,3.0,24140.0,12.768586,130.426,6.484
1715756400.0,6.0,3.0,24140.0,12.984975,136.12321,6.384
1715760000.0,6.0,3.0,24140.0,11.709688,135.0001,6.5839996
1715763600.0,6.0,3.0,24140.0,10.44,136.39711,6.984
1715767200.0,4.0,3.0,24140.0,10.948973,136.33215,7.484
1715770800.0,2.0,3.0,24140.0,14.76439,135.0001,7.984
1715774400.0,0.0,3.0,24140.0,16.039202,135.90929,8.684
1715778000.0,0.0,3.0,24140.0,19.228851,141.84273,9.184
1715781600.0,0.0,3.0,24140.0,19.8,143.13002,9.784
1715785200.0,0.0,3.0,24140.0,18.218275,142.22426,9.984
1715788800.0,16.0,3.0,17240.0,17.935081,141.51978,9.884
1715792400.0,32.0,3.0,24140.0,18.075441,134.19316,9.784
1715796000.0,48.0,3.0,13040.0,17.581125,132.5104,9.984
1715799600.0,55.0,2.0,22880.0,19.35314,133.49263,9.584
1715803200.0,61.0,2.0,24140.0,13.004922,138.36655,8.884
1715806800.0,68.0,2.0,24140.0,12.7279215,135.0001,8.184
1715810400.0,45.0,3.0,24140.0,11.457958,136.27295,7.884
1715814000.0,23.0,2.0,24140.0,10.44,133.60289,7.684
1715817600.0,0.0,3.0,24140.0,8.942214,130.10085,7.884
1715821200.0,0.0,3.0,24140.0,7.8954163,133.1524,7.684
1715824800.0,0.0,2.0,24140.0,6.4096174,128.15727,7.684
1715828400.0,0.0,2.0,24140.0,6.193674,125.537766,7.2840004
1715832000.0,0.0,2.0,24140.0,5.634891,116.56499,7.184
1715835600.0,0.0,3.0,24140.0,5.6920996,108.43504,7.0839996
1715839200.0,0.0,3.0,24140.0,6.489992,109.440125,6.7840004
1715842800.0,0.0,3.0,24140.0,5.937272,104.03627,6.684
1715846400.0,0.0,3.0,24140.0,5.2416787,105.945465,6.5839996
1715850000.0,0.0,3.0,24140.0,5.0528407,94.08554,6.984
1715853600.0,22.0,3.0,24140.0,4.896529,72.89719,7.484
1715857200.0,43.0,3.0,18020.0,5.815978,68.19853,8.384
1715860800.0,65.0,3.0,7020.0,5.8603754,79.380394,8.184
1715864400.0,73.0,3.0,9620.0,7.208994,87.13766,9.384
1715868000.0,82.0,2.0,24140.0,9.885262,79.50858,10.484
1715871600.0,90.0,2.0,24140.0,12.245294,91.68465,11.284
1715875200.0,79.0,2.0,24140.0,14.154915,97.30567,11.384
1715878800.0,69.0,3.0,24140.0,13.084402,82.09293,11.284
1715882400.0,58.0,2.0,24140.0,13.276144,102.5288,11.784
1715886000.0,39.0,1.0,24140.0,9.178235,78.6901,11.184
1715889600.0,19.0,1.0,24140.0,7.6367526,81.86999,10.384
1715893200.0,0.0,1.0,24140.0,8.12197,102.80426,9.684
1715896800.0,0.0,1.0,24140.0,8.049845,100.30479,9.184
1715900400.0,0.0,1.0,24140.0,7.208994,92.86235,8.784
1715904000.0,0.0,1.0,24140.0,7.2359104,84.2895,8.884
1715907600.0,0.0,1.0,24140.0,7.42159,75.96373,8.584
1715911200.0,0.0,1.0,24140.0,8.427383,70.01681,8.784
1715914800.0,0.0,2.0,24140.0,8.225035,66.80139,7.984
1715918400.0,0.0,2.0,24140.0,8.78872,55.0079,7.884
1715922000.0,0.0,2.0,24140.0,9.585739,55.713078,7.984
