hours,precipitation_probability,weather_code,visibility,wind_speed_180m,wind_direction_180m,temperature_180m
1715814000,2.0,1.0,24140.0,13.246826,137.20262,8.8984995
1715817600,0.0,1.0,24140.0,10.233123,129.28938,8.6985
1715821200,0.0,0.0,24140.0,10.514218,128.04709,8.7985
1715824800,0.0,0.0,24140.0,11.246759,129.80553,8.7985
1715828400,0.0,0.0,24140.0,9.793059,126.027466,9.0985
1715832000,0.0,0.0,24140.0,10.799999,126.86998,9.0985
1715835600,0.0,1.0,24140.0,12.261157,130.23628,8.9985
1715839200,0.0,2.0,24140.0,8.891343,121.75944,8.7985
1715842800,0.0,2.0,24140.0,10.495713,120.96369,9.3984995
1715846400,0.0,3.0,24140.0,13.608762,127.47626,9.5985
1715850000,0.0,2.0,24140.0,10.464797,116.56499,9.5985
1715853600,3.0,2.0,24140.0,13.363711,117.25525,10.0985
1715857200,7.0,2.0,24140.0,16.78156,112.714455,10.5985
1715860800,10.0,2.0,24140.0,22.065973,123.6901,10.6985
1715864400,7.0,2.0,24140.0,28.056913,123.4862,10.7985
1715868000,3.0,1.0,24140.0,30.566095,122.00535,10.9985
1715871600,0.0,1.0,24140.0,27.047956,116.90602,11.0985
1715875200,0.0,1.0,24140.0,27.212759,117.58195,10.8984995
1715878800,0.0,1.0,24140.0,27.362368,122.64463,10.5985
1715882400,0.0,0.0,24140.0,18.678415,117.552734,10.5985
1715886000,0.0,0.0,24140.0,16.595179,114.34108,10.3984995
1715889600,0.0,0.0,24140.0,18.204042,114.53771,9.7985
1715893200,0.0,0.0,24140.0,14.33234,115.277695,9.4985
1715896800,0.0,1.0,24140.0,15.463246,114.775116,9.2985
1715900400,0.0,1.0,24140.0,17.58481,112.89059,9.2985
1715904000,0.0,0.0,24140.0,15.328561,99.46225,9.4985
1715907600,0.0,0.0,24140.0,17.106628,98.47106,9.3984995
1715911200,0.0,0.0,24140.0,19.416653,100.68486,8.9985
1715914800,0.0,1.0,24140.0,16.215992,92.544754,9.3984995
1715918400,0.0,0.0,24140.0,16.575644,87.5105,9.2985
1715922000,0.0,0.0,24140.0,16.203999,88.727,9.0985
1715925600,0.0,0.0,24140.0,13.358861,75.96373,8.7985
1715929200,0.0,1.0,24140.0,14.917212,81.67444,8.6985
1715932800,0.0,2.0,24140.0,14.759999,77.319626,8.7985
1715936400,0.0,2.0,24140.0,15.509274,68.19853,8.7985
1715940000,17.0,2.0,24140.0,17.309973,73.07241,8.8984995
1715943600,35.0,2.0,24140.0,20.364674,81.86999,9.1985
1715947200,52.0,3.0,24140.0,21.434364,82.27827,9.5985
1715950800,43.0,2.0,24140.0,17.373497,95.94677,9.7985
1715954400,35.0,2.0,18960.0,13.854155,114.56716,10.3984995
1715958000,26.0,2.0,24140.0,9.290511,125.537766,10.6985
1715961600,29.0,2.0,24140.0,6.1094027,135.0001,10.7985
1715965200,32.0,3.0,24140.0,1.08,270.0,9.8984995
1715968800,35.0,3.0,24140.0,2.0364676,44.999897,8.9985
1715972400,48.0,3.0,23560.0,3.671294,78.6901,8.9985
1715976000,61.0,3.0,24140.0,3.671294,101.3099,9.0985
1715979600,74.0,1.0,24140.0,2.0364676,135.0001,9.0985
1715983200,49.0,1.0,24140.0,4.510787,151.38963,9.1985
1715986800,25.0,0.0,24140.0,6.9527545,158.74942,8.9985
1715990400,0.0,0.0,24140.0,3.671294,191.30989,8.8984995
1715994000,0.0,0.0,24140.0,3.0758414,200.55612,8.8984995
1715997600,0.0,0.0,24140.0,2.0991426,210.96368,8.9985
1716001200,0.0,0.0,24140.0,0.8049845,63.435013,8.6985
1716004800,0.0,0.0,24140.0,1.835647,78.6901,8.6985
1716008400,0.0,1.0,24140.0,1.484318,75.96373,8.5985
1716012000,0.0,2.0,24140.0,1.8,53.13002,8.8984995
1716015600,0.0,0.0,24140.0,2.0991426,120.96369,9.2985
1716019200,0.0,1.0,24140.0,3.0758414,159.44388,9.6985
1716022800,0.0,1.0,24140.0,1.2979984,213.6901,10.1985
1716026400,3.0,2.0,24140.0,1.8,270.0,10.1985
1716030000,7.0,3.0,24140.0,4.0249224,296.56497,10.2985
1716033600,10.0,3.0,24140.0,6.830519,341.56494,10.0985
1716037200,38.0,2.0,24140.0,8.557102,14.620926,9.1985
1716040800,66.0,3.0,23680.0,4.6102495,38.65983,9.8984995
1716044400,94.0,80.0,19120.0,5.6920996,18.435053,9.6985
1716048000,96.0,3.0,23500.0,4.896529,342.8972,9.2985
1716051600,98.0,3.0,7380.0,7.42159,320.90613,9.1985
1716055200,100.0,3.0,8420.0,4.8433046,311.98712,8.8984995
1716058800,100.0,3.0,7740.0,5.00128,300.25635,8.6985
1716062400,100.0,45.0,7420.0,6.4096174,321.8427,8.2985
1716066000,100.0,45.0,1640.0,4.6102495,308.65982,8.0985
1716069600,71.0,45.0,1500.0,3.4152596,288.43503,8.0985
1716073200,42.0,45.0,20280.0,3.671294,281.3099,8.1985
1716076800,13.0,45.0,24140.0,3.7585104,286.6993,7.8984995
1716080400,9.0,45.0,24140.0,5.0911684,278.13,7.9985
1716084000,4.0,45.0,24140.0,6.9899354,281.88864,7.7985
1716087600,0.0,45.0,24140.0,6.924738,278.97253,7.4985
1716091200,0.0,3.0,9120.0,7.8625183,285.94547,7.3984995
1716094800,0.0,2.0,7520.0,9.178235,295.5599,6.9985
1716098400,0.0,3.0,24140.0,6.8777895,312.8789,6.8984995
1716102000,0.0,45.0,24140.0,7.127636,315.0001,6.5985003
1716105600,0.0,45.0,24140.0,7.127636,315.0001,6.5985003
1716109200,0.0,45.0,24140.0,7.42159,320.90613,6.3985
1716112800,23.0,45.0,24140.0,7.5942082,328.5705,6.2985
1716116400,45.0,3.0,24140.0,7.968939,341.56494,6.2985
1716120000,68.0,3.0,24140.0,5.7599998,360.0,7.2985
1716123600,54.0,3.0,23900.0,6.87779,6.0089183,7.6984997
1716127200,40.0,3.0,23780.0,7.5599995,360.0,7.8984995
1716130800,26.0,3.0,23660.0,7.208994,357.13766,7.5985003
1716134400,40.0,3.0,19880.0,8.350138,7.4313188,7.5985003
1716138000,54.0,2.0,21760.0,9.3876505,4.398633,7.6984997
1716141600,68.0,2.0,16180.0,9.346143,15.642312,7.1984997
1716145200,47.0,2.0,16900.0,7.968939,18.435053,7.0985003
1716148800,27.0,2.0,3600.0,5.815978,21.801476,6.8984995
1716152400,6.0,2.0,2540.0,4.39436,34.9921,6.5985003
1716156000,4.0,45.0,1900.0,3.6,36.86999,6.2985
1716159600,2.0,45.0,940.0,2.8116899,50.194473,6.1984997
1716163200,0.0,2.0,300.0,1.9386592,68.19853,6.4985
1716166800,0.0,2.0,1380.0,1.835647,78.6901,6.4985
1716170400,0.0,2.0,1420.0,2.16,90.0,6.3985
1716174000,0.0,3.0,120.0,1.0182338,44.999897,6.4985
1716177600,0.0,3.0,100.0,1.609969,116.56499,6.3985
1716181200,0.0,3.0,320.0,3.563818,135.0001,6.2985
